school,village,grade,no,stage,hear talk,gender,number of owls seen,what owls eat,home,where build nest,attitude to owls,like nesting in roof,how many different types of owls have you seen near your home?,afraid of owls,what did when last saw owl,what do if owl lands on the roof ,would put nest box in yard,what do you associate owls with?,what do you believe is going to happen if  an owl lands on the roof of your home?,"what problem, if any, do rats and mice cause for you and your family?","what problem, if any, do rats and mice cause for you and your family? 2",what do you associate owls with?,what do you associate owls with?,what do you associate owls with?,what do you associate owls with?,what do you associate owls with?,what do you associate owls with?,what do you associate owls with?,what do you associate owls with?,what do you believe is going to happen if an owl lands on the roof of your home?,what do you believe is going to happen if an owl lands on the roof of your home?,what do you believe is going to happen if an owl lands on the roof of your home?,what do you believe is going to happen if an owl lands on the roof of your home?,what do you believe is going to happen if an owl lands on the roof of your home?,what do you believe is going to happen if an owl lands on the roof of your home?,what do you believe is going to happen if an owl lands on the roof of your home?,"what problems, if any, do rats and mice cause for you and your family?","what problems, if any, do rats and mice cause for you and your family?","what problems, if any, do rats and mice cause for you and your family?","what problems, if any, do rats and mice cause for you and your family?","what problems, if any, do rats and mice cause for you and your family?","what problems, if any, do rats and mice cause for you and your family?"
Ndengeza Senior Secondary School,Ndengeza,11 and 12,37,2 post,yes,female,one,rats and mice,no,in a cavity in a tree,1 - not like,no,none,3 - terrified,2 - run away,3 - chase the owl away,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,38,2 post,yes,female,two,rats and mice,no,in a cavity in a tree,1 - not like,no,two,3 - terrified,2 - run away,3 - chase the owl away,no,with witches,is that someone about to be witch me,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,39,2 post,yes,female,one,rats and mice,no,in a cavity in a tree,2 - no feeling,no,one,1 - not afraid,1 - nothing,1 - nothing,no,like a witch,someone of my relative he/she going to die,bring owl and snakes at home,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,40,2 post,no,female,four,nectar,no,on the ground,1 - not like,no,none,2 - very afraid,3 - try and kill the owl,4 - try and kill the owl,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,41,2 post,no,male,one,rats and mice,no,in a cavity in a tree,2 - no feeling,no,none,2 - very afraid,1 - nothing,3 - chase the owl away,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,42,2 post,no,female,one,seeds and grains,yes,in the branches of a tree,2 - no feeling,no,four,3 - terrified,3 - try and kill the owl,4 - try and kill the owl,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,43,2 post,,male,one,rats and mice,no,in a cavity in a tree,1 - not like,no,two,2 - very afraid,1 - nothing,3 - chase the owl away,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,44,2 post,no,male,four,leaves,no,in the branches of a tree,1 - not like,no,three,,1 - nothing,1 - nothing,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,45,2 post,no,male,four,leaves,no,in the branches of a tree,1 - not like,no,three,3 - terrified,1 - nothing,1 - nothing,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,46,2 post,no,female,one,insects,no,in the branches of a tree,2 - no feeling,no,one,1 - not afraid,2 - run away,3 - chase the owl away,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,47,2 post,yes,male,three,rats and mice,no,in a cavity in a tree,2 - no feeling,no,none,1 - not afraid,1 - nothing,1 - nothing,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,48,2 post,yes,male,two,rats and mice,no,in a cavity in a tree,1 - not like,yes,one,3 - terrified,1 - nothing,3 - chase the owl away,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,49,2 post,yes,male,one,rats and mice,no,on the ground,1 - not like,no,one,1 - not afraid,1 - nothing,3 - chase the owl away,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,50,2 post,yes,female,one,insects/ rats&mice,no,in a cavity in a tree,1 - not like,no,one,2 - very afraid,2 - run away,3 - chase the owl away,no,cats,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,51,2 post,no,female,one,rats and mice,no,in the branches of a tree,1 - not like,no,one,2 - very afraid,2 - run away,2 - run away,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,52,2 post,no,female,three,rats and mice,no,in a cavity in a tree,1 - not like,no,tree,2 - very afraid,1 - nothing,1 - nothing,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,53,2 post,yes,female,three,rats and mice,,in the branches of a tree,3 - like,no,four,2 - very afraid,3 - try and kill the owl,3 - chase the owl away,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,54,2 post,yes,female,three,rats and mice,no,in the branches of a tree,1 - not like,no,three,2 - very afraid,2 - run away,2 - run away,no,owls has been try to kill people overracting between the people,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,55,2 post,yes,female,two,rats and mice,no,in the branches of a tree,1 - not like,no,one,2 - very afraid,2 - run away,3 - chase the owl away,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,56,2 post,no,female,one,rats and mice,no,in a cavity in a tree,1 - not like,no,one,2 - very afraid,1 - nothing,3 - chase the owl away,no,don't associate with owl because is angle thing l' v never see in my life,I believe that owl people use it with bed thing,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,57,2 post,no,male,one,rats and mice,no,in the branches of a tree,1 - not like,no,none,1 - not afraid,1 - nothing,3 - chase the owl away,no,cats,nothing,it will make lots of owl to come to near my yard,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,58,2 post,yes,male,two,rats and mice,no,in the branches of a tree,1 - not like,no,two,2 - very afraid,3 - try and kill the owl,4 - try and kill the owl,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,59,2 post,yes,,two,leaves,,in a cavity in a tree,2 - no feeling,yes,two,2 - very afraid,3 - try and kill the owl,3 - chase the owl away,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,60,2 post,yes,male,three,rats and mice,no,in the roof of a house,2 - no feeling,no,one,2 - very afraid,3 - try and kill the owl,3 - chase the owl away,no,animal,they produce there self there,they make death thing,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,61,2 post,no,male,three,,no,,2 - no feeling,no,two,3 - terrified,3 - try and kill the owl,3 - chase the owl away,no,I associate owls with some witchcraft because is,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,62,2 post,yes,male,two,rats and mice,no,in a cavity in a tree,2 - no feeling,no,two,1 - not afraid,1 - nothing,3 - chase the owl away,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,63,2 post,yes,male,one,rats and mice,,in the roof of a house,1 - not like,no,one,1 - not afraid,1 - nothing,3 - chase the owl away,yes,I will chase it away from their house,they going have an fame owl,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,64,2 post,no,female,one,grass,,in a cavity in a tree,1 - not like,,four,2 - very afraid,3 - try and kill the owl,4 - try and kill the owl,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,65,2 post,no,female,two,rats and mice,no,in the branches of a tree,1 - not like,no,four,2 - very afraid,1 - nothing,1 - nothing,no,with birds,nothing at all,eating furnitures and materials at home,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,66,2 post,yes,female,four,rats and mice,yes,in a cavity in a tree,2 - no feeling,no,four,3 - terrified,3 - try and kill the owl,4 - try and kill the owl,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,67,2 post,no,female,one,seeds and grains,no,in the branches of a tree,1 - not like,no,one,2 - very afraid,2 - run away,3 - chase the owl away,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,68,2 post,no,female,one,rats and mice,no,in a cavity in a tree,1 - not like,no,none,2 - very afraid,1 - nothing,1 - nothing,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,69,2 post,no,female,one,insects,no,in the branches of a tree,2 - no feeling,no,one,1 - not afraid,2 - run away,3 - chase the owl away,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,70,2 post,yes,female,one,rats and mice,no,in a cavity in a tree,,no,one,3 - terrified,1 - nothing,3 - chase the owl away,yes,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,71,2 post,no,female,one,insects,no,in the roof of a house,1 - not like,no,one,1 - not afraid,3 - try and kill the owl,4 - try and kill the owl,no,as an fly by night person,I'm going to loose a focus because of the noise that the owl it going to make,eating clothes,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,72,2 post,yes,male,one,rats and mice,no,in the branches of a tree,1 - not like,no,one,1 - not afraid,3 - try and kill the owl,4 - try and kill the owl,no,I associate owls with rats because they are scary,I will just try to kill it because it make a problem noise,I will simply feed at can the can kill them an owl,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,73,2 post,yes,female,three,,no,in the branches of a tree,3 - like,no,two,,3 - try and kill the owl,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,74,2 post,yes,female,one,rats and mice,no,in the branches of a tree,1 - not like,no,two,2 - very afraid,2 - run away,2 - run away,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,75,2 post,yes,male,one,rats and mice,yes,in the branches of a tree,2 - no feeling,yes,one,2 - very afraid,2 - run away,2 - run away,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,76,2 post,no,female,one,rats and mice,,in the branches of a tree,1 - not like,no,one,2 - very afraid,2 - run away,3 - chase the owl away,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,77,2 post,,female,one,rats and mice,no,in a cavity in a tree,1 - not like,no,one,2 - very afraid,1 - nothing,3 - chase the owl away,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,78,2 post,,female,one,rats and mice,no,in a cavity in a tree,1 - not like,no,two,2 - very afraid,3 - try and kill the owl,1 - nothing,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,79,2 post,no,male,two,rats and mice,no,in a cavity in a tree,3 - like,no,one,2 - very afraid,2 - run away,3 - chase the owl away,no,,it make a sound same sound that I don't like,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,80,2 post,yes,female,one,rats and mice,no,in the branches of a tree,1 - not like,no,one,2 - very afraid,3 - try and kill the owl,4 - try and kill the owl,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,81,2 post,yes,female,none,rats and mice,no,in the branches of a tree,2 - no feeling,no,none,3 - terrified,1 - nothing,1 - nothing,no,I associate a owl with some sort of whichcraft,I believe that it is sent by witches,yes it does cost for me and my family,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,82,2 post,no,male,one,rats and mice,no,in a cavity in a tree,2 - no feeling,no,one,1 - not afraid,1 - nothing,4 - try and kill the owl,no,witchcraft things,nothing will happey I will chase it away,eat our furtures and clothes and cause ather ther place,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,83,2 post,yes,male,one,rats and mice,no,in the branches of a tree,1 - not like,no,one,1 - not afraid,1 - nothing,3 - chase the owl away,no,I don't know,witchcraft,destroy the equipment and eat clothes,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,84,2 post,yes,male,two,rats and mice,no,in a cavity in a tree,1 - not like,no,two,3 - terrified,1 - nothing,3 - chase the owl away,no,witchcraft visiosly,the community will acuse me of being a witchcraft,there is no rats and mice where I live,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,85,2 post,yes,male,two,rats and mice,no,in the branches of a tree,3 - like,no,none,1 - not afraid,1 - nothing,3 - chase the owl away,no,witch,they want to a craft my family,problem,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,86,2 post,no,female,two,rats and mice,yes,in the roof of a house,3 - like,no,two,1 - not afraid,2 - run away,1 - nothing,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,87,2 post,no,female,none,nectar,no,in the branches of a tree,1 - not like,no,one,3 - terrified,3 - try and kill the owl,4 - try and kill the owl,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,88,2 post,no,female,none,,no,on the ground,3 - like,no,none,2 - very afraid,2 - run away,1 - nothing,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,89,2 post,no,female,one,rats and mice,no,,1 - not like,no,one,2 - very afraid,3 - try and kill the owl,4 - try and kill the owl,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,90,2 post,,female,none,insects,,,,no,none,3 - terrified,1 - nothing,3 - chase the owl away,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,91,2 post,no,female,one,insects,yes,in the roof of a house,3 - like,no,four,3 - terrified,1 - nothing,1 - nothing,no,to have them in our house,none,eat food with them,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,92,2 post,yes,female,three,grass,no,in a cavity in a tree,2 - no feeling,no,one,2 - very afraid,2 - run away,2 - run away,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,93,2 post,yes,female,one,insects,no,in a cavity in a tree,1 - not like,no,one,2 - very afraid,1 - nothing,1 - nothing,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,94,2 post,yes,male,one,seeds and grains,no,on the ground,2 - no feeling,no,one,1 - not afraid,2 - run away,2 - run away,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,95,2 post,no,male,none,rats and mice,no,in the branches of a tree,3 - like,no,none,2 - very afraid,1 - nothing,3 - chase the owl away,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,96,2 post,yes,female,one,rats and mice,no,in a cavity in a tree,1 - not like,no,one,3 - terrified,1 - nothing,1 - nothing,no,birds,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,97,2 post,yes,female,three,insects,yes,in the roof of a house,1 - not like,,four,3 - terrified,3 - try and kill the owl,3 - chase the owl away,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,98,2 post,yes,male,two,,no,in the branches of a tree,1 - not like,no,two,2 - very afraid,3 - try and kill the owl,3 - chase the owl away,,with witch people,it will kill our chickens,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,99,2 post,yes,female,two,rats and mice,no,in a cavity in a tree,1 - not like,no,two,2 - very afraid,2 - run away,2 - run away,no,witchcraft things,something bad will happen,they eat maize plant and peanuts,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,100,2 post,yes,male,two,,no,on the ground,2 - no feeling,no,one,1 - not afraid,1 - nothing,1 - nothing,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,101,2 post,yes,male,none,rats and mice,no,in the branches of a tree,2 - no feeling,no,none,1 - not afraid,1 - nothing,4 - try and kill the owl,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,102,2 post,yes,female,two,rats and mice,no,in the branches of a tree,1 - not like,no,two,2 - very afraid,2 - run away,3 - chase the owl away,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,103,2 post,no,female,three,nectar,no,in the roof of a house,1 - not like,no,two,2 - very afraid,1 - nothing,3 - chase the owl away,no,,,,,,,,,,,,,,,,,,,,,,,,,
